COUNTRY_NAME_AR,MISSION_NAME_AR,STATION_NAME,STATION_ADDRESS,ROOM_SEQ,STATION_ROOM
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,5,السفارة اللبنانية في أبو ظبي - غرفة رقم 5
كندا,"سفارة لبنان لدى كندا, اوتاوا",Armenian Community Center,"45 Hallcrown Pl, Toronto, ON, M2J 4Y4",7,Armenian Community Center - غرفة رقم 7
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,4,المدرسة اللبنانية في قطر - غرفة رقم 4
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, ديترويت",Cedars Hall,Cedars Hall 602 University Ave Ne Miieapolis Mn 55413 PH:6126697435,24,Cedars Hall
استراليا,"قنصلية لبنان العامة في استراليا, ملبورن",مدرسة الراهبات الانطونيات Antonine College,"130 harding Street Coburg, VIC 3058",57,مدرسة الراهبات الانطونيات Antonine College - غرفة رقم 6
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,25,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 10
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,23,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 8
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,8,المدرسة اللبنانية في قطر - غرفة رقم 8
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,29,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 14
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,9,السفارة اللبنانية في أبو ظبي - غرفة رقم 9
الجمهورية الهيلانية,"سفارة لبنان لدى الجمهورية الهيلانية, اثينا",السفارة اللبنانية في أثينا,Embassy of Lebanon- KIFISIAS AVE. 290 & N.PARITSIS 2 15451 NEO PSYCHICO  3rd FLOOR,1,السفارة اللبنانية في أثينا - غرفة رقم 1
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,16,السفارة اللبنانية في الرياض - غرفة رقم 16
جمهورية كوت ديفوار,"سفارة لبنان لدى جمهورية كوت ديفوار, ابيدجان",المركز الاسلامي اللبناني,Boulevard Loraine- Marcory- Abidjan - مبنى المركز الاسلامي اللبناني,16,المركز الاسلامي اللبناني - غرفة رقم 2
مملكة السويد,"سفارة لبنان لدى مملكة السويد, ستوكهولم",COLOSSEUM,"Masugnsvagen 28, 168 67 Bromma, Stockholm, Sweden",5,COLOSSEUM - غرفة رقم 2
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",معهد العائلة المقدسة,"23-25 Alice Street, Harris Park NSW 2150",51,معهد العائلة المقدسة - غرفة رقم 8
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,7,السفارة اللبنانية في الرياض - غرفة رقم 7
مملكة اسبانيا,"سفارة لبنان لدى مملكة اسبانيا, مدريد",Centro De Mayores Benito Perez Galdos,"Avenida Ciudad Barcelona, 182, 28007 Distrito de Retiro",3,Centro De Mayores Benito Perez Galdos - غرفة رقم 1
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,5,السفارة اللبنانية في الكويت - غرفة رقم 5
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,19,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 4
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",كلية السلامة,40 Hector Street Chester Hill NSW 2162,17,كلية السلامة - غرفة رقم 5
مملكة السويد,"سفارة لبنان لدى مملكة السويد, ستوكهولم",AFAMIA FESTLOKAL,"Storas Industrigata 1, 424 69 Angered,Gothenburg, Sweden",2,AFAMIA FESTLOKAL - غرفة رقم 2
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,39,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 4
التوغو,"سفارة لبنان لدى جمهورية غانا, أكرا",القنصلية اللبنانية الفخرية في توغو,"Consulat Honoraire Du Liban1068, Rue SODO(ex Rue Amega, ancienne Mairie 4eme Arrondissement)Quartier NYEKONAKPE, Lome",1,القنصلية اللبنانية الفخرية في توغو
الجمهورية الفدرالية البرازيلية,"سفارة لبنان لدى الجمهورية الفدرالية البرازيلية, برازيليا",السفارة اللبنانية في برازيليا,"SES 805 - Avenida Das Nacoes, Lote 17, Brasilia – DF, CEP: 70.411-900",1,السفارة اللبنانية في برازيليا
الجمهورية الفدرالية البرازيلية,"قنصلية لبنان العامة لدى الجمهورية الفدرالية البرازيلية, ساو باولو",المدرسة البرازيلية - اللبنانية,المدرسة البرازيلية - اللبنانية،  جادة فيليب فاندشير 2941 ، فوز دي اغواسو,4,المدرسة البرازيلية - اللبنانية - غرفة رقم 2
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",دير ومدرسة مار شربل,142 Highclere Ave. Punchbowl NSW 2196,12,دير ومدرسة مار شربل - غرفة رقم 6
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,17,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 2
كندا,"سفارة لبنان لدى كندا, اوتاوا",Armenian Community Center,"45 Hallcrown Pl, Toronto, ON, M2J 4Y4",11,Armenian Community Center - غرفة رقم 11
مملكة بلجيكا,"سفارة لبنان لدى مملكة بلجيكا, بروكسل",Ecole Communale de Saint Job,"Rue Jean Benaets 74, 1180 Uccle, Bruxelles",7,Ecole Communale de Saint Job - غرفة رقم 7
استراليا,"قنصلية لبنان العامة في استراليا, ملبورن",مدرسة الراهبات الانطونيات Antonine College,"130 harding Street Coburg, VIC 3058",56,مدرسة الراهبات الانطونيات Antonine College - غرفة رقم 5
جمهورية الكونغو الديمقراطية,"سفارة لبنان لدى جمهورية الكونغو الديمقراطية, كنشاسا",نادي الجالية اللبنانية في جمهورية الكونغو الديمقراطية,"Au cercle Libanais, n. 2, avenue Ecurie, Kitambo, Ngaliema, Ref. derriere l'eglise     Jean  23 (00243818993563 - 00243900022226)",2,نادي الجالية اللبنانية في جمهورية الكونغو الديمقراطية - غرفة رقم 1
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,9,السفارة اللبنانية في الرياض - غرفة رقم 9
الجمهورية الغابونية,"سفارة لبنان لدى الجمهورية الغابونية, ليبرفيل",Centre Commercial XANADOU - Libreville,Centre Commercial XANADOU- 2- Zone Industrielle d'Oloumi avant le CEDOC,2,Centre Commercial XANADOU - Libreville
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,9,السفارة اللبنانية في الكويت - غرفة رقم 9
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",68,LEcole armenienne Sourp Hagop - غرفة رقم 13
الجمهورية العراقية,"سفارة لبنان لدى الجمهورية العراقية, بغداد",فندق روتانا,فندق روتانا في أربيل- شارع كولان 40,2,فندق روتانا
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,8,السفارة اللبنانية في الرياض - غرفة رقم 8
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,47,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 12
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن","Houston, TX","Hilton Houston Post Oak by the Galleria-2001 Post Oak Boulevard I Houston, TX 77056",9,"Houston, TX - غرفة رقم 3"
استراليا,"سفارة لبنان لدى استراليا, كانبيرا",القنصلية اللبنانية الفخرية في بريزبن,"Suite 1, 146 Scotts Road, Darra, Queensland 4076",4,القنصلية اللبنانية الفخرية في بريزبن
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,10,المدرسة اللبنانية في قطر - غرفة رقم 10
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن",Lebanese Honorary Consulate - Atlanta,"Honorary Consulate of Lebanon - 1827, Powers Ferry Rd. SE, Building 9, Suite 100, Atlanta, GA 30339",15,Lebanese Honorary Consulate - Atlanta - غرفة رقم 1
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,12,المدرسة اللبنانية في قطر - غرفة رقم 12
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,12,السفارة اللبنانية في الرياض - غرفة رقم 12
مملكة السويد,"سفارة لبنان لدى مملكة السويد, ستوكهولم",COLOSSEUM,"Masugnsvagen 28, 168 67 Bromma, Stockholm, Sweden",7,COLOSSEUM - غرفة رقم 4
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,18,السفارة اللبنانية في الرياض - غرفة رقم 18
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن",Lebanese Honorary Consulate - Dallas,"222 Municipal Drive, Suite 180, Richardson, TX 75080",13,Lebanese Honorary Consulate - Dallas
أنغويلا,"سفارة لبنان لدى جمهورية جنوب أفريقيا, بريتوريا",Luanda International Academy,"Luanda International Academy Rua Antonio Feliciano de Castilho, N. 240,Bairro Comandante Nelito Soares (Vila Alice), Luanda - Angola",1,Luanda International Academy
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, ديترويت",Honorary Consulate of Lebanon,Honory consulate of Lebanon 6607 pearl rs parma heights ohi 44130 Ph:2163073367,28,Honorary Consulate of Lebanon - غرفة رقم 2
جمهورية ليبيريا,"سفارة لبنان لدى جمهورية ليبيريا, منروفيا",السفارة اللبنانية في منروفيا,Embassy of Lebanon- Monrovia- Sinkor 12th  street - Corner Warner,1,السفارة اللبنانية في منروفيا
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",معهد العائلة المقدسة,"23-25 Alice Street, Harris Park NSW 2150",47,معهد العائلة المقدسة - غرفة رقم 4
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",كلية السلامة,40 Hector Street Chester Hill NSW 2162,14,كلية السلامة - غرفة رقم 2
الجمهورية الإيطالية,"قنصلية لبنان العامة في الجمهورية الإيطالية, ميلانو",Centro Anziani Ricordi,"Centro Anziani Ricordi- Via Ruggero Boscovich, 42",6,Centro Anziani Ricordi - غرفة رقم 4
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",مطرانية الكاثوليك الملكيين,80 Waterloo Road Greenacre NSW 2190,43,مطرانية الكاثوليك الملكيين - غرفة رقم 5
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",معهد العائلة المقدسة,"23-25 Alice Street, Harris Park NSW 2150",46,معهد العائلة المقدسة - غرفة رقم 3
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",75,LEcole armenienne Sourp Hagop - غرفة رقم 20
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",كنيسة مار نقولا,8 Henry Street Punchbowl NSW 2196,24,كنيسة مار نقولا - غرفة رقم 4
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,20,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 5
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,32,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 17
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,34,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 19
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,4,السفارة اللبنانية في الرياض - غرفة رقم 4
مملكة السويد,"سفارة لبنان لدى مملكة السويد, ستوكهولم",MALMO,"Emilstorpsgatan 26, 213 64 Malmِ, Sweden",8,MALMO - غرفة رقم 1
الإتحاد السويسري,"سفارة لبنان لدى الإتحاد السويسري, برن",Novotel Zurich City West Hotel,"Schiffbaustrasse 13, 8005 Zurich",4,Novotel Zurich City West Hotel - غرفة رقم 1
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,5,السفارة اللبنانية في الرياض - غرفة رقم 5
المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية,"سفارة لبنان لدى المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية, لندن",القنصلية العامة في لندن,"15 Palace Garden Mews, London, W8 4RB - مبنى القنصلية العام",5,القنصلية العامة في لندن - غرفة رقم 1
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,33,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 18
كندا,"قنصلية لبنان لدى كندا, مونتريال",Centre Melkite de Montréal,"10025, Boul. de l'Acadie,  Montréal, Québec, H4N 2S1",36,Centre Melkite de Montréal - غرفة رقم 1
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,2,المدرسة اللبنانية في قطر - غرفة رقم 2
جمهورية مصر العربية,"قنصلية لبنان العامة لدى جمهورية مصر العربية, الإسكندرية",القنصلية اللبنانية العامة في الاسكندرية,مبنى القنصلية العامة في الاسكندرية - 64 طريق الحرية، الاسكندرية,2,القنصلية اللبنانية العامة في الاسكندرية
المملكة العربية السعودية,"قنصلية لبنان العامة في المملكة العربية السعودية, جدة",القنصلية العامة في جدة,3767 مبنى القنصلية العامة في جدة- شارع إبراهيم العنقري- حي المحمدية- جدة 23617,22,القنصلية العامة في جدة - غرفة رقم 2
المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية,"سفارة لبنان لدى المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية, لندن",Our Lady of Lourdes and Saint Vincent de Paul Church Hall,"Our Lady of Lourdes and Saint Vincent de Paul Church Hall337 Harrow Rd, Maida Hill, London, W9 3RB",4,Our Lady of Lourdes and Saint Vincent de Paul Church Hall - غرفة رقم 4
كندا,"قنصلية لبنان لدى كندا, مونتريال",Centre Melkite de Montréal,"10025, Boul. de l'Acadie,  Montréal, Québec, H4N 2S1",38,Centre Melkite de Montréal - غرفة رقم 3
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, نيويورك",Pashalian Hall,"221 East 27th street, New York, NY 10016",52,Pashalian Hall - غرفة رقم 1
المملكة العربية السعودية,"قنصلية لبنان العامة في المملكة العربية السعودية, جدة",القنصلية العامة في جدة,3767 مبنى القنصلية العامة في جدة- شارع إبراهيم العنقري- حي المحمدية- جدة 23617,23,القنصلية العامة في جدة - غرفة رقم 3
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن",Lebanese Honorary Consulate - Raleigh,"Honorary Consulate of Lebanon - 6208 Fayetteville Rd, Suite 103, Durham, NC 27713",14,Lebanese Honorary Consulate - Raleigh
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,3,السفارة اللبنانية في أبو ظبي - غرفة رقم 3
جمهورية الكونغو الديمقراطية,"سفارة لبنان لدى جمهورية الكونغو الديمقراطية, كنشاسا",نادي الجالية اللبنانية في جمهورية الكونغو الديمقراطية,"Au cercle Libanais, n. 2, avenue Ecurie, Kitambo, Ngaliema, Ref. derriere l'eglise     Jean  23 (00243818993563 - 00243900022226)",3,نادي الجالية اللبنانية في جمهورية الكونغو الديمقراطية - غرفة رقم 2
المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية,"سفارة لبنان لدى المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية, لندن",Our Lady of Lourdes and Saint Vincent de Paul Church Hall,"Our Lady of Lourdes and Saint Vincent de Paul Church Hall337 Harrow Rd, Maida Hill, London, W9 3RB",3,Our Lady of Lourdes and Saint Vincent de Paul Church Hall - غرفة رقم 3
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,11,المدرسة اللبنانية في قطر - غرفة رقم 11
مملكة اسبانيا,"سفارة لبنان لدى مملكة اسبانيا, مدريد",Centro De Mayores Benito Perez Galdos,"Avenida Ciudad Barcelona, 182, 28007 Distrito de Retiro",4,Centro De Mayores Benito Perez Galdos - غرفة رقم 2
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,8,السفارة اللبنانية في الكويت - غرفة رقم 8
مملكة بلجيكا,"سفارة لبنان لدى مملكة بلجيكا, بروكسل",Ecole Communale de Saint Job,"Rue Jean Benaets 74, 1180 Uccle, Bruxelles",6,Ecole Communale de Saint Job - غرفة رقم 6
كندا,"قنصلية لبنان لدى كندا, مونتريال",Centre Melkite de Montréal,"10025, Boul. de l'Acadie,  Montréal, Québec, H4N 2S1",50,Centre Melkite de Montréal - غرفة رقم 15
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,13,المدرسة اللبنانية في قطر - غرفة رقم 13
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,45,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 10
مملكة اسبانيا,"سفارة لبنان لدى مملكة اسبانيا, مدريد",Centro Civic Joan Oliver ¨Pere Quart¨,"Calle Comandant Benitez, 6, 08028 de Barcelona",2,Centro Civic Joan Oliver ¨Pere Quart¨ - غرفة رقم 2
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, ديترويت",Bint Jbeil Cultural Center,Bint Jebail Cultural Center 14201 Prospect St Derborn Mi 48123 Ph:313 584-0011,23,Bint Jbeil Cultural Center - غرفة رقم 3
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, ديترويت",St Sharbel Church,"St.Sharbel Chuch43888Hayes Rd,Clinton Twp Mi48038 PH:5866300002",32,St Sharbel Church
المملكة العربية السعودية,"قنصلية لبنان العامة في المملكة العربية السعودية, جدة",القنصلية العامة في جدة,3767 مبنى القنصلية العامة في جدة- شارع إبراهيم العنقري- حي المحمدية- جدة 23617,30,القنصلية العامة في جدة - غرفة رقم 10
مملكة البحرين,"سفارة لبنان لدى مملكة البحرين, المنامة",السفارة اللبنانية في مملكة البحرين,مبنى السفارة اللبنانية في البحيرن- فيلا 1556- شارع 5647- البرهامة- الصالحية - القفول 356,2,السفارة اللبنانية في مملكة البحرين - غرفة رقم 2
المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية,"سفارة لبنان لدى المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية, لندن",القنصلية العامة في لندن,"15 Palace Garden Mews, London, W8 4RB - مبنى القنصلية العام",9,القنصلية العامة في لندن - غرفة رقم 5
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,10,السفارة اللبنانية في أبو ظبي - غرفة رقم 10
جمهورية السنغال,"سفارة لبنان لدى جمهورية السنغال, دكار",دار سكن رئيس البعثة,"1, rue Aime Cesaire, Fann residence , Dakar - مبنى دار سكن رئيس البعثة",2,دار سكن رئيس البعثة - غرفة رقم 2
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",الرابطة الدرزية الاسترالية,"259-261 Guildford Road, Guildford NSW 2161",6,الرابطة الدرزية الاسترالية - غرفة رقم 2
الإتحاد السويسري,"سفارة لبنان لدى الإتحاد السويسري, برن",Ferme Sarasin,"Chemin Edouard-Sarasin 47, 1218 Le Grand-Saconnex",3,Ferme Sarasin - غرفة رقم 3
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,12,السفارة اللبنانية في أبو ظبي - غرفة رقم 12
جمهورية كوت ديفوار,"سفارة لبنان لدى جمهورية كوت ديفوار, ابيدجان",CAISTAB - Plateau- Abidjan,"Boulevard Botreau Roussel , Plateau , Abidjan",3,CAISTAB - Plateau- Abidjan - غرفة رقم 3
كندا,"قنصلية لبنان لدى كندا, مونتريال",Centre Melkite de Montréal,"10025, Boul. de l'Acadie,  Montréal, Québec, H4N 2S1",45,Centre Melkite de Montréal - غرفة رقم 10
المملكة العربية السعودية,"قنصلية لبنان العامة في المملكة العربية السعودية, جدة",القنصلية العامة في جدة,3767 مبنى القنصلية العامة في جدة- شارع إبراهيم العنقري- حي المحمدية- جدة 23617,29,القنصلية العامة في جدة - غرفة رقم 9
الجمهورية العراقية,"سفارة لبنان لدى الجمهورية العراقية, بغداد",السفارة اللبنانية في بغداد,مبنى السفار اللبنانية في بغداد- الجادرية- شاعر فندق بابل,1,السفارة اللبنانية في بغداد
كندا,"سفارة لبنان لدى كندا, اوتاوا",Armenian Community Center,"45 Hallcrown Pl, Toronto, ON, M2J 4Y4",2,Armenian Community Center - غرفة رقم 2
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,2,السفارة اللبنانية في الرياض - غرفة رقم 2
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",62,LEcole armenienne Sourp Hagop - غرفة رقم 7
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, لوس انجلس",Honorary Consulate of Lebanon in San Francisco,"262 Michelle Court South, San Francisco CA 94080",38,Honorary Consulate of Lebanon in San Francisco - غرفة رقم 1
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,31,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 16
كندا,"قنصلية لبنان لدى كندا, مونتريال",Centre Melkite de Montréal,"10025, Boul. de l'Acadie,  Montréal, Québec, H4N 2S1",42,Centre Melkite de Montréal - غرفة رقم 7
مملكة السويد,"سفارة لبنان لدى مملكة السويد, ستوكهولم",COLOSSEUM,"Masugnsvagen 28, 168 67 Bromma, Stockholm, Sweden",4,COLOSSEUM - غرفة رقم 1
كندا,"قنصلية لبنان لدى كندا, مونتريال",Centre Melkite de Montréal,"10025, Boul. de l'Acadie,  Montréal, Québec, H4N 2S1",37,Centre Melkite de Montréal - غرفة رقم 2
